nome,cnpj,produto,data,preco,bandeira
C. A. C. COMERCIO DE DERIVADOS DE PETROLEO LTDA,04484009000176,ETANOL,19/02/2020,"3,599",ATEM' S
D. R. A. DERIVADO DE PETROLEO LTDA,10773536000101,ETANOL,19/02/2020,"3,69",IPIRANGA
DENYS ANTONIO ABDALA TUMA - EIRELI,84659879000178,ETANOL,19/02/2020,"3,49",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO DUBLIM LTDA.,10292892000103,ETANOL,26/02/2020,"3,599",IPIRANGA
AUTO POSTO OZIVAL LTDA,04643904001168,ETANOL,26/02/2020,"3,48",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO PRUDENTE LTDA,24995468000121,ETANOL,26/02/2020,"3,59",ATEM' S
CAMPOS BRAVOS COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA,24681257000114,ETANOL,26/02/2020,"3,59",ATEM' S
COTAM - COOPERATIVA DE CONSUMO DOS TAXISTAS AUTONOMOS DE MANAUS,02533862000296,ETANOL,26/02/2020,"3,59",IPIRANGA
D F COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.,12472332000158,ETANOL,26/02/2020,"3,58",ATEM' S
DAT COMERCIO DE DERIVADOS DE PETROLEO LTDA,01647520000153,ETANOL,26/02/2020,"3,499",SABBÁ
DENYS ANTONIO ABDALA TUMA - EIRELI,84659879001140,ETANOL,26/02/2020,"3,49",ATEM' S
FORTE COMERCIO DE DERIVADOS DE PETROLEO EIRELI,07848998000209,ETANOL,26/02/2020,"3,499",EQUADOR
FRANCISCO G LOPES & CIA. LTDA.,02386446000202,ETANOL,26/02/2020,"3,45",IPIRANGA
POSTO TOCANTINS LTDA - EPP,06224769000170,ETANOL,26/02/2020,"3,49",SABBÁ
REDE NORTE DE POSTOS E SERVIÇOS LTDA,03673838000487,ETANOL,26/02/2020,"3,48",EQUADOR
AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,10988014000895,ETANOL,27/02/2020,"3,59",ATEM' S
AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,10988014001000,ETANOL,27/02/2020,"3,59",ATEM' S
AMAZON COMBUSTIVEIS PARA VEICULOS E CONSTRUCOES LTDA,10988014001433,ETANOL,27/02/2020,"3,59",ATEM' S
AUTO POSTO BRASIL LIMITADA,04819363000104,ETANOL,27/02/2020,"3,59",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO PARAISO TROPICAL LTDA,26243770000159,ETANOL,27/02/2020,"3,49",ATEM' S
AUTO POSTO TURISMO COMERCIO DE DERIVADOS DE PETROLEO LTDA,25236438000102,ETANOL,27/02/2020,"3,48",EQUADOR
CONTERPE COMERCIO E SERVICOS LTDA,84493139000619,ETANOL,27/02/2020,"3,59",PETROBRAS DISTRIBUIDORA S.A.
COTRAR COMERCIO TRANSPORTES E REPRESENTACOES LTDA,05472832000124,ETANOL,27/02/2020,"3,95",ATEM' S
DAT COMERCIO DE DERIVADOS DE PETROLEO LTDA,01647520000587,ETANOL,27/02/2020,"3,499",SABBÁ
DENYS ANTONIO ABDALA TUMA - EIRELI,84659879000410,ETANOL,27/02/2020,"3,49",PETROBRAS DISTRIBUIDORA S.A.
FE COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,08219844000130,ETANOL,27/02/2020,"3,49",ATEM' S
G.D.A. DERIVADOS DE PETROLEO LTDA,03983153000194,ETANOL,27/02/2020,"3,45",IPIRANGA
GONTIJO COMERCIO DE COMBUSTIVEIS LTDA,22575379000109,ETANOL,27/02/2020,"3,59",PETROBRAS DISTRIBUIDORA S.A.
MANAUS COMERCIO DE DERIVADOS DE PETROLEO LTDA,23505231000233,ETANOL,27/02/2020,"3,499",SABBÁ
MARINHO AUTO POSTO LTDA.,63690994000135,ETANOL,27/02/2020,"3,59",IPIRANGA
NAVERIO NAVEGACAO DO RIO AMAZONAS LTDA,84477215001593,ETANOL,27/02/2020,"3,59",ATEM' S
NAVERIO NAVEGACAO DO RIO AMAZONAS LTDA,84477215001674,ETANOL,27/02/2020,"3,59",SABBÁ
NAVERIO NAVEGACAO DO RIO AMAZONAS LTDA,84477215001755,ETANOL,27/02/2020,"3,59",BRANCA
NAVERIO NAVEGACAO DO RIO AMAZONAS LTDA,84477215002301,ETANOL,27/02/2020,"3,59",BRANCA
PORTELA AUTO POSTO LTDA,26588399000167,ETANOL,27/02/2020,"3,699",SABBÁ
POSTO 3000 LTDA,84479997000366,ETANOL,27/02/2020,"3,499",SABBÁ
SP POSTO - COMERCIO DE COMBUSTIVEIS PARA VEICULO LTDA,18234915000399,ETANOL,27/02/2020,"3,59",RAIZEN
SUBEL AUTO POSTO LTDA,04229373000351,ETANOL,27/02/2020,"3,5",PETROBRAS DISTRIBUIDORA S.A.
SUBEL AUTO POSTO LTDA,04229373000432,ETANOL,27/02/2020,"3,5",PETROBRAS DISTRIBUIDORA S.A.
VALE DO PITINGA COMERCIO DE DERIVADOS DE PETROLEO LTDA,22138345000149,ETANOL,27/02/2020,"3,59",PETROBRAS DISTRIBUIDORA S.A.
MACHADO & ANDRADE LTDA,08945482000164,ETANOL,03/02/2020,"3,87",IPIRANGA
AUTO POSTO PLAYCENTER LTDA.,09087882000149,ETANOL,10/02/2020,"3,88",BRANCA
MACHADO & ANDRADE LTDA,08945482000164,ETANOL,10/02/2020,"3,87",IPIRANGA
AUTO POSTO PLAYCENTER LTDA.,09087882000149,ETANOL,17/02/2020,"3,88",BRANCA
MACHADO & ANDRADE LTDA,08945482000164,ETANOL,17/02/2020,"3,87",IPIRANGA
E M C COMERCIO DE REFINADOS DE PETROLEO LTDA,11171191000251,ETANOL,03/02/2020,"4,47",IPIRANGA
E M C COMERCIO DE REFINADOS DE PETROLEO LTDA,11171191000251,ETANOL,10/02/2020,"4,47",IPIRANGA
E M C COMERCIO DE REFINADOS DE PETROLEO LTDA,11171191000251,ETANOL,17/02/2020,"4,47",IPIRANGA
E M C COMERCIO DE REFINADOS DE PETROLEO LTDA,11171191000251,ETANOL,26/02/2020,"4,47",IPIRANGA
XINGU AUTO POSTO LTDA,20041272000147,ETANOL,18/02/2020,"4,199",BRANCA
