nome,cnpj,produto,data,preco,bandeira
AUTO POSTO PS GUERRA LTDA,05261756000108,GASOLINA,03/02/2020,"4,899",BRANCA
CMA PETROLEO LTDA,05263779000151,ETANOL,24/02/2020,"3,399",RAIZEN
ADALFREDO FERRISI & CIA LTDA,05264140000190,ETANOL,26/02/2020,"3,069",BRANCA
AUTO POSTO AVENIDAS FRUTAL LTDA,05266995000150,ETANOL,24/02/2020,"3,499",BRANCA
BEZERRA E FILHO LTDA,05267406000159,GASOLINA,18/02/2020,"4,75",PETROBRAS DISTRIBUIDORA S.A.
BEZERRA E FILHO LTDA,05267406000230,ETANOL,26/02/2020,"3,59",BRANCA
POSTO FAISÃO IV LTDA,05267618000136,ETANOL,24/02/2020,"3,48",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO CANDAMAM LTDA,05269341000180,ETANOL,26/02/2020,"3,149",RAIZEN
AUTO POSTO UNIVERSITARIO LTDA,05274286000117,GASOLINA,05/02/2020,"4,489",IPIRANGA
SAO PAULO MINAS COMERCIO DERIVADOS DE PETROLEO LTDA,05282048000153,ETANOL,28/02/2020,"3,279",BRANCA
SAO PAULO MINAS COMERCIO DERIVADOS DE PETROLEO LTDA,05282048000234,ETANOL,28/02/2020,"3,279",BRANCA
AUTO POSTO MONTREAL VARGAS LTDA,05283897000121,GASOLINA,05/02/2020,"4,596",IPIRANGA
AUTO POSTO VITORELLI LTDA,05284456000144,GASOLINA,19/02/2020,"4,099",BRANCA
POSTO MEIRA COMERCIO DE COMBUSTIVEIS EIRELI,05291198000123,ETANOL,27/02/2020,"3,68",RAIZEN
PETROX COMERCIAL LTDA,05297480000118,GASOLINA,11/02/2020,"4,844",PETROX DISTRIBUIDORA
PETROX COMERCIAL LTDA,05297480000207,GASOLINA,18/02/2020,"4,788",PETROX DISTRIBUIDORA
PETROX COMERCIAL LTDA,05297480000460,ETANOL,26/02/2020,"3,799",PETROX DISTRIBUIDORA
PETROX COMERCIAL LTDA,05297480000622,GASOLINA,10/02/2020,"4,844",PETROX DISTRIBUIDORA
PETROX COMERCIAL LTDA,05297480000703,GASOLINA,17/02/2020,"4,788",PETROX DISTRIBUIDORA
PETROX COMERCIAL LTDA,05297480000975,GASOLINA,11/02/2020,"4,844",PETROX DISTRIBUIDORA
PETROX COMERCIAL LTDA,05297480001009,GASOLINA,11/02/2020,"4,844",PETROX DISTRIBUIDORA
PETROX COMERCIAL LTDA,05297480001190,ETANOL,25/02/2020,"3,889",PETROX DISTRIBUIDORA
PETROX COMERCIAL LTDA,05297480001432,GASOLINA,11/02/2020,"4,844",PETROX DISTRIBUIDORA
PETROX COMERCIAL LTDA,05297480001513,ETANOL,27/02/2020,"3,699",PETROX DISTRIBUIDORA
PETROX COMERCIAL LTDA,05297480001602,ETANOL,24/02/2020,"3,889",PETROX DISTRIBUIDORA
PETROX COMERCIAL LTDA,05297480001947,ETANOL,24/02/2020,"3,889",PETROX DISTRIBUIDORA
PETROX COMERCIAL LTDA,05297480002161,ETANOL,24/02/2020,"3,889",PETROX DISTRIBUIDORA
PETROX COMERCIAL LTDA,05297480002242,ETANOL,24/02/2020,"3,889",PETROBRAS DISTRIBUIDORA S.A.
PETROX COMERCIAL LTDA,05297480002323,GASOLINA,05/02/2020,"4,699",PETROBRAS DISTRIBUIDORA S.A.
PETROX COMERCIAL LTDA,05297480002595,ETANOL,27/02/2020,"3,889",PETROX DISTRIBUIDORA
SEPE TIARAJU EMPREENDIMENTOS EIRELI,05297501001096,GASOLINA,24/02/2020,"3,85",BRANCA
RIZZOTTO & CIA LTDA,05298376000148,GASOLINA,25/02/2020,"4,399",PETROBRAS DISTRIBUIDORA S.A.
RIZZOTTO & CIA LTDA,05298376000229,ETANOL,25/02/2020,"3,899",IPIRANGA
RIZZOTTO & CIA LTDA,05298376000300,GASOLINA,25/02/2020,"4,399",BRANCA
RIZZOTTO & CIA LTDA,05298376000490,GASOLINA,25/02/2020,"4,399",RAIZEN MIME
RIZZOTTO & CIA LTDA,05298376000733,GASOLINA,25/02/2020,"4,39",BRANCA
AUTO POSTO ALMENARA LTDA,05299796000149,ETANOL,20/02/2020,"3,499",RAIZEN
POSTO ALDO SAO JOSE DOS PINHAIS LTDA,05302222000182,ETANOL,28/02/2020,"3,199",BRANCA
DEVILLE REVENDEDORA DE COMBUSTIVEIS EIRELI,05302544000121,GASOLINA,11/02/2020,"4,129",BRANCA
C CARVALHO SILVA & CIA LTDA,05302564000100,GASOLINA,05/02/2020,"4,609",BRANCA
SUPERCENTRO POSTOS DE SERVIÇO LTDA,05303828000132,ETANOL,20/02/2020,"3,999",SABBÁ
ROCHA & AZAMBUJA LTDA,05306888000109,ETANOL,27/02/2020,"3,899",PETROBRAS DISTRIBUIDORA S.A.
MCSS FREITAS COMBUSTÍVEIS,05308115000161,GASOLINA,18/02/2020,"4,99",BRANCA
AUTO POSTO SERRA DA ESTRELA LTDA,05308320000127,GASOLINA,25/02/2020,"4,349",IPIRANGA
AUTO POSTO TUIM LTDA,05311696000190,ETANOL,26/02/2020,"3,147",BRANCA
FENIX COMERCIO DE COMBUSTIVEIS LTDA,05315892000133,GASOLINA,27/02/2020,"4,798",RAIZEN
MONTOUZA COMERCIO DE COMBUSTIVEIS LTDA,05318203000144,GASOLINA,12/02/2020,"4,849",BRANCA
POSTO IMPERIAL BRACUÍ TDA,05318745000117,ETANOL,26/02/2020,"4,599",RAIZEN
AUTO POSTO SENADOR LTDA,05319538000187,GASOLINA,20/02/2020,"4,599",IPIRANGA
AUTO POSTO ECOS LTDA,05320591000106,ETANOL,24/02/2020,"3,39",IPIRANGA
MEGA POSTO DE COMBUSTIVEIS LTDA,05325947000196,ETANOL,28/02/2020,"3,18",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO GENESIS DE JACAREPAGUA LTDA,05328243000177,GASOLINA,11/02/2020,"4,889",BRANCA
E G COMERCIO VAREJISTA DE DERIVADOS DE PETROLEO LTDA,05330700000168,ETANOL,28/02/2020,"3,79",PETROBRAS DISTRIBUIDORA S.A.
P 13 COMERCIO DE DERIVADOS DE PETROLEO LTDA,05331201000195,GASOLINA,17/02/2020,"4,65",ALESAT
SEVERINO S LOPES & CIA LTDA,05331412000128,GASOLINA,19/02/2020,"4,699",PETROBRAS DISTRIBUIDORA S.A.
SEVERINO S LOPES & CIA LTDA,05331412000209,ETANOL,27/02/2020,"3,599",PETROBRAS DISTRIBUIDORA S.A.
TIROL COMERCIO LTDA,05332038000185,GASOLINA,18/02/2020,"4,69",BRANCA
AUTO POSTO BREMEN ARACATUBA LTDA,05332395000143,GASOLINA,18/02/2020,"4,299",BRANCA
RODOPOSTO OLIVEIRA LTDA,05333717000179,ETANOL,26/02/2020,"3,457",IPIRANGA
AUTO POSTO LIK LTDA,05335456000126,ETANOL,26/02/2020,"2,899",IPIRANGA
POSTO MARIO ANDREAZA COMERCIO DE COMBUSTIVEIS LTDA,05336324000119,GASOLINA,19/02/2020,"4,779",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO FLECHEIRA LTDA,05339816000168,ETANOL,28/02/2020,"3,399",IPIRANGA
POSTO DE COMBUSTIVEIS PRAIA DE GUAIBIM LTDA - ME,05340221000122,ETANOL,26/02/2020,"3,599",BRANCA
ERNESTAO COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,05341260000144,ETANOL,25/02/2020,"3,799",PETROBRAS DISTRIBUIDORA S.A.
POSTO 22 - ATIBAIA LTDA,05343449000176,ETANOL,28/02/2020,"3,247",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO TREVAO JUNINHO DE VOTUPORANGA LTDA - ME,05343891000100,ETANOL,26/02/2020,"2,999",IPIRANGA
POSTO RODA BRANCA LTDA,05346656000184,ETANOL,26/02/2020,"3,499",IPIRANGA
POSTO PORTAL DE SUAPE LTDA,05346818000184,GASOLINA,05/02/2020,"4,599",PETROBRAS DISTRIBUIDORA S.A.
CENTRO AUTOMOTIVO BIG -JALISCO DE RESENDE LTDA,05347170000160,GASOLINA,12/02/2020,"5,099",PETROBRAS DISTRIBUIDORA S.A.
POSTO RODA VIVA EIRELI,05348859000100,GASOLINA,19/02/2020,"4,62",PETROBRAS DISTRIBUIDORA S.A.
POSTO IRMAOS CAMATTA LTDA,05349237000104,GASOLINA,26/02/2020,"4,69",PETROBRAS DISTRIBUIDORA S.A.
YOSHIURA & MEIRA LTDA,05350828000193,ETANOL,26/02/2020,"2,729",RAIZEN
POSTO DAS AGUAS LTDA,05351082000132,GASOLINA,04/02/2020,"4,439",BRANCA
LUIZ ANTONIO GOMES VIANA & CIA LTDA,05351271000105,GASOLINA,19/02/2020,"4,679",BRANCA
LUIZ ANTONIO GOMES VIANA & CIA LTDA,05351271000296,GASOLINA,19/02/2020,"4,67",PETROBRAS DISTRIBUIDORA S.A.
POSTO DE COMBUSTIVEIS SETE PORTAS LTDA,05353082000171,GASOLINA,18/02/2020,"4,3",BRANCA
AUTO POSTO SIGA LTDA,05353687000162,ETANOL,27/02/2020,"2,898",BRANCA
PORTO PETROLEOS LTDA,05357283000147,GASOLINA,12/02/2020,"3,959",BRANCA
AUTO POSTO TIO BILY LTDA,05357759000140,GASOLINA,13/02/2020,"4,299",BRANCA
AUTO POSTO CARRO NOBRE LTDA,05362218000100,GASOLINA,12/02/2020,"4,499",RAIZEN
POSTO DE SERVICO BRIGADEIRO LIMA E SILVA LTDA,05362319000180,ETANOL,20/02/2020,"4,099",IPIRANGA
AUTO POSTO BIN LTDA,05362805000107,GASOLINA,19/02/2020,"4,49",PETROBRAS DISTRIBUIDORA S.A.
VDK COMERCIO DE COMBUSTIVEIS LTDA,05363398000144,GASOLINA,18/02/2020,"4,599",IPIRANGA
AUTO POSTO ALPHAVILLE LTDA,05365568000120,ETANOL,24/02/2020,"3,289",PETROBRAS DISTRIBUIDORA S.A.
FRANCISCO CHARLES LIMA NERI,05368755000167,GASOLINA,03/02/2020,"4,78",BRANCA
POSTO  MORRO DO  OURO LTDA,05369087000192,GASOLINA,12/02/2020,"4,699",PETROBRAS DISTRIBUIDORA S.A.
POLO COMBUSTIVEIS E LUBRIFICANTES LTDA,05369811000188,GASOLINA,05/02/2020,"4,54",BRANCA
POSTO DO LAGO BEBEDOURO LTDA,05371150000125,ETANOL,24/02/2020,"3,059",BRANCA
POSTO DO LAGO BEBEDOURO LTDA,05371150000206,ETANOL,24/02/2020,"3,059",IPIRANGA
POSTO DO LAGO BEBEDOURO LTDA,05371150000397,ETANOL,24/02/2020,"3,059",BRANCA
OXIPETRO COMERCIO DE COMBUSTIVEIS LTDA,05371773000106,GASOLINA,03/02/2020,"4,65",IPIRANGA
COMERCIAL VITORIA LTDA,05374277000106,GASOLINA,19/02/2020,"4,86",BRANCA
POSTO TITAN DE MACAE LTDA,05374546000126,ETANOL,25/02/2020,"4,49",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO SAO FURTUOSO LTDA,05374614000157,GASOLINA,11/02/2020,"4,899",RAIZEN
AUTO POSTO JF BARATELA & BARATELA LTDA,05378135000109,ETANOL,26/02/2020,"3,099",PETROBRAS DISTRIBUIDORA S.A.
SAO JOSE III COMERCIO DE COMBUSTIVEIS LTDA,05379113000163,GASOLINA,12/02/2020,"4,65",RAIZEN
TACARUNA PETROLEO LTDA,05381715000155,ETANOL,26/02/2020,"3,499",PETROBRAS DISTRIBUIDORA S.A.
POSTO ITAPIRACABA LTDA,05382507000170,ETANOL,28/02/2020,"3,04",PETROBRAS DISTRIBUIDORA S.A.
ALBATROZ COMERCIAL DE PETROLEO LTDA,05383103000100,GASOLINA,18/02/2020,"4,399",TAURUS
DERIVADOS DE PETRÓLEO ORNELAS LTDA,05383825000156,ETANOL,26/02/2020,"3,599",PETROBRAS DISTRIBUIDORA S.A.
PARQUE AUTO POSTO LTDA,05385747000129,GASOLINA,19/02/2020,"4,79",BRANCA
POSTO DE SERVICO NOVA ARARAS LTDA,05388414000153,ETANOL,26/02/2020,"2,879",BRANCA
SOBERANO CENTRO AUTOMOTIVO LTDA,05388664000193,GASOLINA,19/02/2020,"4,299",IPIRANGA
AUTO POSTO COLINA ARAÇATUBA LTDA,05389492000172,ETANOL,26/02/2020,"2,999",RAIZEN
COMERCIAL DE COMBUSTIVEIS PARAISO EIRELI,05391756000122,ETANOL,26/02/2020,"3,07",BRANCA
POSTO DE COMBUSTIVEL X EIRELI,05392094000105,ETANOL,24/02/2020,"3,299",BRANCA
COWBOY AUTO POSTO LTDA,05395268000193,GASOLINA,13/02/2020,"4,389",BRANCA
ATLANTICO CENTRO AUTOMOTIVO LTDA,05396424000130,GASOLINA,19/02/2020,"4,579",IPIRANGA
BEZERRA & MENDES COMERCIAL DE PETRÓLEO LTDA,05397086000151,ETANOL,26/02/2020,"3,499",IPIRANGA
W L DE LIRA,05399663000225,GASOLINA,27/02/2020,"4,77",ATEM' S
PETROL COMBUSTIVEIS CORONEL FABRICIANO LTDA,05400321000105,ETANOL,26/02/2020,"3,299",BRANCA
AUTO POSTO 2 L LTDA,05401959000152,ETANOL,26/02/2020,"3,066",BRANCA
AUTO POSTO BANDEIRA 4 LTDA,05402445000111,GASOLINA,18/02/2020,"4,369",BRANCA
SANTOS PETROL COMERCIO DE COMBUSTIVEIS LTDA - EPP,05403675000103,GASOLINA,18/02/2020,"4,149",BRANCA
ZOVICO & CIA LTDA,05404726000103,ETANOL,28/02/2020,"2,899",BRANCA
BOX 4 POSTO DE SERVIÇOS E CONVENIÊNCIAS LTDA,05406347000152,ETANOL,28/02/2020,"2,999",BRANCA
POSTO WENZEL LTDA,05407017000181,GASOLINA,20/02/2020,"4,677",CHARRUA
AUTO POSTO TREVISO DE MAUA LTDA,05407709000120,ETANOL,26/02/2020,"3,199",IPIRANGA
POSTO DE SERVICOS GEREMARIO DANTAS DE JACAREPAGUA LTDA,05407997000112,GASOLINA,11/02/2020,"4,897",BRANCA
SOARES E SOUZA LTDA,05408092000248,ETANOL,27/02/2020,"3,69",BRANCA
ABN DISTRIBUIDORA DE COMBUSTÍVEIS LTDA,05408292000110,ETANOL,27/02/2020,"3,899",SP
GASOX COMÉRCIO DE COMB E DERIV DE PETRÓLEO LTDA,05408311000108,GASOLINA,26/02/2020,"4,49",BRANCA
AUTO POSTO UNIVERSIDADE REALENGO LTDA,05410269000160,GASOLINA,03/02/2020,"4,799",TOBRAS
AUTO POSTO PONTOCOM LTDA,05411026000146,ETANOL,24/02/2020,"3,999",BRANCA
AUTO POSTO ITAMARATI ABUNDANCIA LTDA,05411130000130,GASOLINA,06/02/2020,"4,199",ALESAT
CENTRO AUTOMOTIVO PINDORAMA LTDA,05412573000146,ETANOL,24/02/2020,"2,899",BRANCA
POSTO DN LTDA,05413136000147,ETANOL,26/02/2020,"3,599",RAIZEN
AUTO POSTO PETRO CHILE LTDA,05413804000136,GASOLINA,10/02/2020,"4,099",PETROBRAS DISTRIBUIDORA S.A.
AUTO POSTO 100 DE PIRACICABA LTDA,05416077000160,ETANOL,28/02/2020,"2,879",BRANCA
REVENDEDORA DE COMBUSTIVEIS SANTA LUZIA LTDA,05417380000188,GASOLINA,17/02/2020,"4,68",PETROBRAS DISTRIBUIDORA S.A.
COMERCIO E DISTRIBUICAO SALES LTDA,05418619001700,ETANOL,26/02/2020,"3,489",BRANCA
AUTO POSTO TERRA LTDA,05420669000156,GASOLINA,27/02/2020,"4,97",IPIRANGA
FARIAS ALVES & CORREIA LTDA,05421762000185,GASOLINA,05/02/2020,"4,38",BRANCA
PRESSGAS EMPREENDIMENTOS LTDA,05421827000192,ETANOL,24/02/2020,"3,35",RAIZEN
BARRETO & SOUZA COMÉRCIO DE COMBUSTÍVEIS E LUBRIFICANTES LTDA,05422384000154,GASOLINA,24/02/2020,"4,59",BRANCA
